"team_won","first_team","second_team","category"
"Rising","Rising Pune Supergiant 148/8 (20/20 ov)","Sunrisers Hyderabad 136/9","T20L"
"Mumbai","Mumbai Indians 212/3 (20/20 ov)","Delhi Daredevils 66","T20L"
"Kolkata","Royal Challengers Bangalore 158/6 (20/20 ov)","Kolkata Knight Riders 159/4","T20L"
"Gujarat","Kings XI Punjab 189/3 (20/20 ov)","Gujarat Lions 192/4","T20L"
"Sunrisers","Mumbai Indians 138/7 (20/20 ov)","Sunrisers Hyderabad 140/3","T20L"
"Kings","Kings XI Punjab 167/6 (20/20 ov)","Kolkata Knight Riders 153/6","T20L"
"Delhi","Gujarat Lions 195/5 (20/20 ov)","Delhi Daredevils 197/8","T20L"
"Kings","Kings XI Punjab 230/3 (20/20 ov)","Mumbai Indians 223/6","T20L"
"Delhi","Delhi Daredevils 168/8 (20/20 ov)","Rising Pune Supergiant 161/7","T20L"
"Sunrisers","Gujarat Lions 154 (19.2/20 ov)","Sunrisers Hyderabad 158/2","T20L"
"Mumbai","Mumbai Indians 173/5 (20/20 ov)","Kolkata Knight Riders 164/8","T20L"
"Rising","Kings XI Punjab 73 (15.5/20 ov)","Rising Pune Supergiant 78/1","T20L"
"Royal","Royal Challengers Bangalore 161/6 (20/20 ov)","Delhi Daredevils 151","T20L"
"Rising","Rising Pune Supergiant 162/4 (20/20 ov)","Mumbai Indians 142/9","T20L"
"Kolkata","Sunrisers Hyderabad 128/7 (20/20 ov)","Kolkata Knight Riders 48/3","T20L"
"Mumbai","Kolkata Knight Riders 107 (18.5/20 ov)","Mumbai Indians 111/4","T20L"
"Mumbai","Mumbai Indians 129/8 (20/20 ov)","Rising Pune Supergiant 128/6","T20L"
"Leinster","Leinster Lightning 153/8 (20/20 ov)","North-West Warriors 97","T20L"
"Leinster","Northern Knights 157/8 (20/20 ov)","Leinster Lightning 158/3","T20L"
"Leinster","Leinster Lightning 247/4 (20/20 ov)","Munster Reds 188/9","T20L"
"North-West","Northern Knights 118 (19.2/20 ov)","North-West Warriors 122/7","T20L"
"North-West","North-West Warriors 142/5 (20/20 ov)","Munster Reds 117","T20L"
"Leinster","Leinster Lightning 136/9 (20/20 ov)","Northern Knights 128","T20L"
"North-West","Leinster Lightning 118 (19.3/20 ov)","North-West Warriors 119/3","T20L"
"Northern","Northern Knights 209/5 (20/20 ov)","Munster Reds 154/9","T20L"
"Leinster","Munster Reds 118 (19.2/20 ov)","Leinster Lightning 120/5","T20L"
"Northern","North-West Warriors 123/4 (20/20 ov)","Northern Knights 124/4","T20L"
"Match","Gloucestershire 182/5 (20/20 ov)","Middlesex 182/9","T20L"
"Warwickshire","Worcestershire 152/9 (20/20 ov)","Warwickshire 153/2","T20L"
"Lancashire","Lancashire 192/6 (20/20 ov)","Durham 140/7","T20L"
"Hampshire","Hampshire 167/5 (20/20 ov)","Glamorgan 145/9","T20L"
"Derbyshire","Northamptonshire 179/6 (20/20 ov)","Derbyshire 180/3","T20L"
"Yorkshire","Yorkshire 227/5 (20/20 ov)","Nottinghamshire 179/8","T20L"
"Surrey","Surrey 188/8 (20/20 ov)","Essex 186/6","T20L"
"Derbyshire","Derbyshire 165/8 (20/20 ov)","Yorkshire 162/7","T20L"
"Warwickshire","Nottinghamshire 158/6 (20/20 ov)","Warwickshire 159/4","T20L"
"Northamptonshire","Durham 161/7 (20/20 ov)","Northamptonshire 162/4","T20L"
"Leicestershire","Lancashire 173/9 (20/20 ov)","Leicestershire 178/7","T20L"
"Surrey","Surrey 181/7 (20/20 ov)","Somerset 177/9","T20L"
"Glamorgan","Glamorgan 198/3 (20/20 ov)","Sussex 180/6","T20L"
"Kent","Essex 166/8 (20/20 ov)","Kent 169/3","T20L"
"Hampshire","Hampshire 188/3 (20/20 ov)","Sussex 169/7","T20L"
"Gloucestershire","Kent 152/8 (20/20 ov)","Gloucestershire 156/4","T20L"
"Middlesex","Surrey 158/9 (20/20 ov)","Middlesex 161/9","T20L"
"Essex","Essex 170/6 (20/20 ov)","Somerset 148/9","T20L"
"Leicestershire","Worcestershire 148/8 (20/20 ov)","Leicestershire 149/5","T20L"
"Kent","Surrey 205/5 (20/20 ov)","Kent 207/2","T20L"
"Hampshire","Hampshire 189/8 (20/20 ov)","Middlesex 160/7","T20L"
"Match","Lancashire 176/4 (20/20 ov)","Yorkshire 64/2 (8.1/8.1 ov, target: 65)



 Scorecard

	Report

	Photos","T20L"
"Northamptonshire","Warwickshire 156/4 (20/20 ov)","Northamptonshire 160/5","T20L"
"Glamorgan","Essex 219/4 (20/20 ov)","Glamorgan 224/5","T20L"
"Lancashire","Derbyshire 152/8 (20/20 ov)","Lancashire 155/5","T20L"
"Somerset","Somerset 207/9 (20/20 ov)","Middlesex 186/7","T20L"
"Leicestershire","Leicestershire 147/9 (20/20 ov)","Warwickshire 138/8","T20L"
"Gloucestershire","Gloucestershire 138/9 (20/20 ov)","Kent 130","T20L"
"Derbyshire","Worcestershire 186/5 (20/20 ov)","Derbyshire 189/3","T20L"
"Surrey","Surrey 150/9 (20/20 ov)","Essex 140/7","T20L"
"Middlesex","Middlesex 179/8 (20/20 ov)","Kent 163/8","T20L"
"Leicestershire","Leicestershire 144/8 (20/20 ov)","Durham 117/8","T20L"
"Sussex","Hampshire 126/9 (20/20 ov)","Sussex 127/4","T20L"
"Nottinghamshire","Nottinghamshire 227/3 (20/20 ov)","Derbyshire 222/5","T20L"
"Surrey","Surrey 156/7 (20/20 ov)","Middlesex 141/7","T20L"
"Yorkshire","Yorkshire 179/5 (20/20 ov)","Warwickshire 150","T20L"
"Essex","Hampshire 124/9 (20/20 ov)","Essex 129/3","T20L"
"Nottinghamshire","Northamptonshire 195/8 (20/20 ov)","Nottinghamshire 52/0 (5.1/5.1 ov, target: 41)



 Scorecard

	Report

	Photos","T20L"
"Lancashire","Lancashire 174/5 (20/20 ov)","Durham 143/8","T20L"
"Somerset","Middlesex 162/6 (16/16 ov)","Somerset 166/5","T20L"
"Warwickshire","Warwickshire 197/4 (20/20 ov)","Derbyshire 177/9","T20L"
"Yorkshire","Yorkshire 233/6 (20/20 ov)","Worcestershire 196/7","T20L"
"Nottinghamshire","Durham 123 (18.1/20 ov)","Nottinghamshire 129/1","T20L"
"Glamorgan","Glamorgan 176/5 (20/20 ov)","Gloucestershire 151/7","T20L"
"Warwickshire","Warwickshire 187/7 (20/20 ov)","Leicestershire 157/8","T20L"
"Derbyshire","Derbyshire 211/5 (20/20 ov)","Lancashire 176/9","T20L"
"Somerset","Somerset 204/9 (20/20 ov)","Hampshire 190","T20L"
"Worcestershire","Worcestershire 208/8 (20/20 ov)","Nottinghamshire 195/5","T20L"
"Yorkshire","Yorkshire 152/8 (20/20 ov)","Durham 128/7","T20L"
"Middlesex","Middlesex 203/6 (20/20 ov)","Essex 131","T20L"
"Northamptonshire","Worcestershire 158 (20/20 ov)","Northamptonshire 160/3","T20L"
"Kent","Somerset 197/6 (20/20 ov)","Kent 181/3","T20L"
"Durham","Leicestershire 88/2 (7/7 ov)","Durham 90/4","T20L"
"Derbyshire","Leicestershire 104/9 (20/20 ov)","Derbyshire 107/3","T20L"
"Nottinghamshire","Yorkshire 223/5 (20/20 ov)","Nottinghamshire 225/5","T20L"
"Warwickshire","Lancashire 174/8 (20/20 ov)","Warwickshire 176/5","T20L"
"Worcestershire","Durham 201/2 (20/20 ov)","Worcestershire 204/2","T20L"
"Glamorgan","Glamorgan 199/2 (20/20 ov)","Kent 174/4","T20L"
"Warwickshire","Warwickshire 172/9 (20/20 ov)","Northamptonshire 170/7","T20L"
"Kent","Kent 159/6 (20/20 ov)","Hampshire 154/4","T20L"
"Hampshire","Middlesex 136 (19.1/20 ov)","Hampshire 137/4","T20L"
"Northamptonshire","Northamptonshire 158/4 (20/20 ov)","Lancashire 147/9","T20L"
"Derbyshire","Yorkshire 180/5 (20/20 ov)","Derbyshire 184/5","T20L"
"Sussex","Surrey 148/8 (20/20 ov)","Sussex 150/2","T20L"
"Durham","Durham 157/3 (20/20 ov)","Yorkshire 156/7","T20L"
"Gloucestershire","Somerset 146 (19.4/20 ov)","Gloucestershire 152/3","T20L"
"Lancashire","Lancashire 173/5 (20/20 ov)","Leicestershire 169/3","T20L"
"Glamorgan","Glamorgan 181/6 (20/20 ov)","Surrey 175/7","T20L"
"Nottinghamshire","Nottinghamshire 189/4 (20/20 ov)","Derbyshire 181/7","T20L"
"Essex","Hampshire 168/6 (20/20 ov)","Essex 169/6","T20L"
"Sussex","Kent 163/9 (20/20 ov)","Sussex 167/5","T20L"
"Worcestershire","Worcestershire 190/7 (20/20 ov)","Warwickshire 185/7","T20L"
"Nottinghamshire","Durham 183/7 (20/20 ov)","Nottinghamshire 184/5","T20L"
"Northamptonshire","Northamptonshire 195/4 (20/20 ov)","Worcestershire 171/6","T20L"
"Somerset","Surrey 157/6 (20/20 ov)","Somerset 158/6","T20L"
"Middlesex","Middlesex 147/6 (20/20 ov)","Sussex 145/8","T20L"
"Hampshire","Glamorgan 118/6 (20/20 ov)","Hampshire 119/2","T20L"
"Durham","Durham 165/5 (20/20 ov)","Worcestershire 152/5","T20L"
"Leicestershire","Leicestershire 193/5 (20/20 ov)","Northamptonshire 145/7","T20L"
"Nottinghamshire","Warwickshire 180/7 (20/20 ov)","Nottinghamshire 183/5","T20L"
"Yorkshire","Yorkshire 182/7 (20/20 ov)","Lancashire 163","T20L"
"Essex","Essex 172/9 (20/20 ov)","Middlesex 163/7","T20L"
"Hampshire","Kent 167/7 (20/20 ov)","Hampshire 171/4","T20L"
"Sussex","Gloucestershire 138 (18.5/20 ov)","Sussex 139/5","T20L"
"Leicestershire","Yorkshire 182/5 (20/20 ov)","Leicestershire 183/6","T20L"
"Kent","Somerset 149 (18.5/20 ov)","Kent 151/4","T20L"
"Warwickshire","Durham 145/8 (20/20 ov)","Warwickshire 148/2","T20L"
"Essex","Gloucestershire 121/8 (20/20 ov)","Essex 122/7","T20L"
"Glamorgan","Glamorgan 183/6 (20/20 ov)","Somerset 182/6","T20L"
"Surrey","Surrey 193/2 (20/20 ov)","Sussex 176/7","T20L"
"Nottinghamshire","Nottinghamshire 145 (19.3/20 ov)","Worcestershire 134/8","T20L"
"Middlesex","Middlesex 161/5 (20/20 ov)","Gloucestershire 100","T20L"
"Derbyshire","Durham 161/7 (20/20 ov)","Derbyshire 164/7","T20L"
"Lancashire","Worcestershire 127/8 (20/20 ov)","Lancashire 128/3","T20L"
"Leicestershire","Derbyshire 139/7 (20/20 ov)","Leicestershire 143/6","T20L"
"Surrey","Gloucestershire 130/9 (20/20 ov)","Surrey 134/8","T20L"
"Kent","Kent 221/2 (20/20 ov)","Essex 210/5","T20L"
"Yorkshire","Yorkshire 260/4 (20/20 ov)","Northamptonshire 136","T20L"
"Derbyshire","Derbyshire 146/8 (20/20 ov)","Worcestershire 98","T20L"
"Glamorgan","Middlesex 99/8 (14/14 ov)","Glamorgan 100/3","T20L"
"Somerset","Somerset 189/3 (20/20 ov)","Hampshire 91","T20L"
"Surrey","Surrey 154/9 (20/20 ov)","Kent 144/8","T20L"
"Warwickshire","Lancashire 163/4 (20/20 ov)","Warwickshire 169/8","T20L"
"Leicestershire","Leicestershire 203/5 (20/20 ov)","Nottinghamshire 201/8","T20L"
"Sussex","Sussex 172/4 (20/20 ov)","Essex 117","T20L"
"Hampshire","Hampshire 249/8 (20/20 ov)","Derbyshire 148","T20L"
"Glamorgan","Leicestershire 123 (19.2/20 ov)","Glamorgan 126/1","T20L"
"Nottinghamshire","Somerset 151/6 (20/20 ov)","Nottinghamshire 152/5","T20L"
"Warwickshire","Surrey 204/5 (20/20 ov)","Warwickshire 207/4","T20L"
"Warwickshire","Warwickshire 175/9 (20/20 ov)","Glamorgan 164","T20L"
"Nottinghamshire","Nottinghamshire 169/7 (20/20 ov)","Hampshire 146","T20L"
"Nottinghamshire","Nottinghamshire 190/4 (20/20 ov)","Warwickshire 168/8","T20L"
"Trinbago","St Lucia Stars 132/9 (20/20 ov)","Trinbago Knight Riders 137/1","T20L"
"St","Guyana Amazon Warriors 123/7 (20/20 ov)","St Kitts and Nevis Patriots 124/6","T20L"
"Barbados","Barbados Tridents 142/7 (20/20 ov)","Jamaica Tallawahs 130/6","T20L"
"St","St Kitts and Nevis Patriots 132/3 (20/20 ov)","Guyana Amazon Warriors 128/8","T20L"
"Jamaica","Jamaica Tallawahs 154/5 (20/20 ov)","Barbados Tridents 142","T20L"
"Trinbago","St Lucia Stars 118/9 (20/20 ov)","Trinbago Knight Riders 120/6","T20L"
"Jamaica","Trinbago Knight Riders 147 (19.5/20 ov)","Jamaica Tallawahs 148/6","T20L"
"Barbados","Barbados Tridents 196/4 (20/20 ov)","St Lucia Stars 129/6 (15.2/15.2 ov, target: 151)



 Scorecard

	Report

	Photos","T20L"
"Trinbago","Guyana Amazon Warriors 156/7 (20/20 ov)","Trinbago Knight Riders 162/3","T20L"
"St","St Kitts and Nevis Patriots 196/6 (20/20 ov)","St Lucia Stars 163/8","T20L"
"Trinbago","Barbados Tridents 152/9 (20/20 ov)","Trinbago Knight Riders 155/8","T20L"
"Guyana","St Lucia Stars 152/8 (20/20 ov)","Guyana Amazon Warriors 153/4","T20L"
"Trinbago","St Kitts and Nevis Patriots 158/7 (20/20 ov)","Trinbago Knight Riders 161/6","T20L"
"Jamaica","St Lucia Stars 173/7 (20/20 ov)","Jamaica Tallawahs 179/5","T20L"
"Jamaica","Jamaica Tallawahs 128/7 (20/20 ov)","Guyana Amazon Warriors 126/4","T20L"
"St","Barbados Tridents 168/6 (20/20 ov)","St Kitts and Nevis Patriots 84/1 (9.3/9.3 ov, target: 68)



 Scorecard

	Report

	Photos","T20L"
"Trinbago","Guyana Amazon Warriors 130/5 (20/20 ov)","Trinbago Knight Riders 131/3","T20L"
"Guyana","Barbados Tridents 159/4 (20/20 ov)","Guyana Amazon Warriors 160/6","T20L"
"St","St Kitts and Nevis Patriots 208/3 (20/20 ov)","Jamaica Tallawahs 171/7","T20L"
"Guyana","St Lucia Stars 100/7 (20/20 ov)","Guyana Amazon Warriors 101/3","T20L"
"Trinbago","St Kitts and Nevis Patriots 162/3 (13/13 ov)","Trinbago Knight Riders 88/2","T20L"
"Jamaica","St Lucia Stars 172/8 (20/20 ov)","Jamaica Tallawahs 176/4","T20L"
"Trinbago","Trinbago Knight Riders 208/6 (20/20 ov)","Jamaica Tallawahs 172/7","T20L"
"Guyana","Guyana Amazon Warriors 158/8 (20/20 ov)","Barbados Tridents 59","T20L"
"Jamaica","Jamaica Tallawahs 157/5 (20/20 ov)","St Kitts and Nevis Patriots 116","T20L"
"Barbados","Barbados Tridents 195/4 (20/20 ov)","St Lucia Stars 166/4","T20L"
"Guyana","Jamaica Tallawahs 149/7 (20/20 ov)","Guyana Amazon Warriors 150/1","T20L"
"Barbados","Barbados Tridents 136/9 (20/20 ov)","Trinbago Knight Riders 120","T20L"
"St","Barbados Tridents 128/9 (20/20 ov)","St Kitts and Nevis Patriots 129/0","T20L"
"St","St Kitts and Nevis Patriots 149/7 (20/20 ov)","Trinbago Knight Riders 111","T20L"
"Guyana","Jamaica Tallawahs 168/8 (20/20 ov)","Guyana Amazon Warriors 169/5","T20L"
"Trinbago","Guyana Amazon Warriors 159/6 (20/20 ov)","Trinbago Knight Riders 160/4","T20L"
"Trinbago","St Kitts and Nevis Patriots 135/6 (20/20 ov)","Trinbago Knight Riders 136/7","T20L"
